# ----------------------------------------
# gis portal
# Pages
# 20170901-20180308
# ----------------------------------------

Page,Pageviews,Unique Pageviews,Avg. Time on Page,Entrances,Bounce Rate,% Exit,Page Value
/data/,"31,411","13,514",00:00:32,"7,998",12.63%,7.96%,$0.00
/,"30,756","18,128",00:00:54,"15,504",28.82%,21.32%,$0.00
/data/cadastre/parcels/,"13,603","9,248",00:03:26,"6,571",39.28%,56.17%,$0.00
/data/aerial-photography/,"10,909","6,459",00:01:51,"2,637",56.50%,36.33%,$0.00
/data/cadastre/land-ownership/,"7,096","5,117",00:02:42,"3,245",51.72%,53.07%,$0.00
/data/boundaries/,"6,863","4,117",00:00:24,303,28.52%,6.51%,$0.00
/data/elevation-and-terrain/,"6,084","3,119",00:02:18,"1,316",42.79%,31.69%,$0.00
/data/boundaries/citycountystate/,"5,209","3,571",00:03:19,"1,443",39.56%,43.10%,$0.00
/data/elevation-terrain-data/,"4,933","2,867",00:02:10,"1,466",50.48%,34.56%,$0.00
/data/energy/oil-gas/,"4,907","3,240",00:03:00,"2,707",54.44%,56.25%,$0.00
/data/usgs-scanned-topographic-maps/,"4,781","2,910",00:02:15,"1,758",52.24%,40.31%,$0.00
/data/transportation/,"4,047","2,540",00:00:32,165,36.59%,7.14%,$0.00
/data/water/,"3,795","2,186",00:00:38,225,30.67%,8.56%,$0.00
/data/transportation/roads-system/,"3,768","2,396",00:03:02,806,56.33%,38.80%,$0.00
/search/,"3,513","2,258",00:00:39,83,35.80%,11.10%,$0.00
/data/base-map-and-imagery/,"2,934","2,180",00:00:46,300,47.67%,15.17%,$0.00
/data/usgs-scanned-topographic-maps-drgs/,"2,876","1,834",00:02:15,"1,168",58.99%,42.73%,$0.00
/data/cadastre/,"2,682","1,808",00:00:27,234,17.67%,6.90%,$0.00
/data/geoscience/,"2,668","1,352",00:01:06,96,41.67%,12.48%,$0.00
/data/sgid-index/,"2,535","1,452",00:01:43,331,48.04%,21.46%,$0.00
/data/recreation/,"2,447","1,253",00:00:31,56,20.00%,4.05%,$0.00
/data/bioscience/,"2,380","1,305",00:01:15,144,55.56%,15.38%,$0.00
/utah-geological-survey-releases-new-interactive-fault-map/,"2,333","1,648",00:01:38,"1,628",64.07%,66.78%,$0.00
/data/water/lakes-rivers-dams/,"2,170","1,466",00:04:07,463,50.54%,43.13%,$0.00
/data/address/,"2,115","1,478",00:00:23,85,25.88%,6.43%,$0.00
/data/water/flood-areas/,"2,101","1,290",00:02:24,"1,002",43.78%,52.07%,$0.00
/data/cadastre/plss/,"2,007","1,388",00:04:00,777,50.06%,53.76%,$0.00
/discover/,"1,937","1,330",00:02:05,169,62.72%,30.98%,$0.00
/developer/,"1,898","1,386",00:00:27,517,58.22%,24.24%,$0.00
